transaction_id,date,description,amount,true_category
T01525,2023-12-05,CIRCLE K # 99914,39.69,Gas
T00848,2023-11-13,DOORDASH*MCDONALDS,45.51,Restaurants
T01587,2023-11-07,UBER* EATS HELP.UBER.COM,3.29,Transport
T00597,2023-01-18,RITE AID #5898 DENVER CO,10.05,Health
T01071,2023-01-18,SQ *BLUE BOTTLE 9722 DALLAS TX,6.64,Coffee
T00693,2023-11-02,SQ *THE COMEDY CLUB CHICAGO IL,8.97,Entertainment
T00659,2023-06-07,DART RAIL DALLAS TX,56.47,Transport
T00525,2023-12-25,UBER* EATS HELP.UBER.COM,30.14,Transport
T00628,2023-07-03,DUNKIN #9922 PHX AZ,9.19,Coffee
T01622,2023-03-31,steamgames.com 465 wa,59.52,Entertainment
T01009,2023-04-14,VERIZON WIRELESS 7274  ,247.41,Utilities
T00042,2023-07-01,TST* PHILZ COFFEE NY NY,9.0,Coffee
T00885,2023-05-28,COMCAST CABLE COMM 63,40.72,Utilities
T00598,2023-04-20,SQ *THE BOOK NOOK CHICAGO IL  ,472.63,Shopping
T00863,2023-08-20,STEAMGAMES.COM 9735 WA,61.12,Entertainment
T00539,2023-04-08,MTA*NYCT PAYGO DALLAS TX,45.04,Transport
T00362,2023-07-21,ALDI 55 NY NY,189.44,Groceries
T00997,2023-10-19,STARBUCKS STORE 08384,7.73,Coffee
T00788,2023-02-27,CHIPOTLE 214 AUSTIN TX,109.67,Restaurants
T00589,2023-02-06,VERIZON WIRELESS 68920,201.64,Utilities
T01791,2023-12-05,STEAMGAMES.COM 85 WA,37.75,Entertainment
T00748,2023-12-17,TST* PHILZ COFFEE PHX AZ,10.15,Coffee
T00123,2023-07-07,SHELL OIL 5352 DALLAS TX,80.06,Gas
T01121,2023-11-06,SQ *LOCAL GROUNDS SEATTLE WA,8.3,Coffee
T01645,2023-08-06,COMCAST CABLE COMM 88,255.87,Utilities
T00245,2023-06-07,SQ *THE BOOK NOOK NY NY  ,63.8,Shopping
T01031,2023-07-11,SQ *BLUE BOTTLE 8051 MIAMI FL,11.73,Coffee
T00102,2023-06-09,REGAL CINEMAS 15915 PHX AZ,65.62,Entertainment
T01576,2023-11-06,SQ *CITY DENTAL BOSTON MA,211.81,Health
